DATASET,DATASET,DATASET,DATASET,DATASET,RESOURCE,RESOURCE,RESOURCE
Group (Topics),Organization,Tags (comma-separated),Dataset Name,Dataset Description,Resource Name,Resource Description,Resource URL
Data Bancaria,Superintendencia de Bancos,"csv, feci, data bancaria",Reportes de FECI,Incluye todos los reportes del FECI en formato csv entre los años 2002 hasta 2016.,FECI 2002,Reporte del FECI para el 2002,http://tabulario.s3.amazonaws.com/Data/Superintendencia%20de%20Bancos%20de%20Panam%C3%A1/FECI/FECI%202002.csv
Data Bancaria,Superintendencia de Bancos,"csv, feci, data bancaria",Reportes de FECI,Incluye todos los reportes del FECI en formato csv entre los años 2002 hasta 2016.,FECI 2003,Reporte del FECI para el 2003,http://tabulario.s3.amazonaws.com/Data/Superintendencia%20de%20Bancos%20de%20Panam%C3%A1/FECI/FECI%202003.csv
Data Bancaria,Superintendencia de Bancos,"csv, feci, data bancaria",Reportes de FECI,Incluye todos los reportes del FECI en formato csv entre los años 2002 hasta 2016.,FECI 2004,Reporte del FECI para el 2004,http://tabulario.s3.amazonaws.com/Data/Superintendencia%20de%20Bancos%20de%20Panam%C3%A1/FECI/FECI%202004.csv
Data Bancaria,Superintendencia de Bancos,"csv, feci, data bancaria",Reportes de FECI,Incluye todos los reportes del FECI en formato csv entre los años 2002 hasta 2016.,FECI 2005,Reporte del FECI para el 2005,http://tabulario.s3.amazonaws.com/Data/Superintendencia%20de%20Bancos%20de%20Panam%C3%A1/FECI/FECI%202005.csv
Data Bancaria,Superintendencia de Bancos,"csv, feci, data bancaria",Reportes de FECI,Incluye todos los reportes del FECI en formato csv entre los años 2002 hasta 2016.,FECI 2006,Reporte del FECI para el 2006,http://tabulario.s3.amazonaws.com/Data/Superintendencia%20de%20Bancos%20de%20Panam%C3%A1/FECI/FECI%202006.csv
Data Bancaria,Superintendencia de Bancos,"csv, feci, data bancaria",Reportes de FECI,Incluye todos los reportes del FECI en formato csv entre los años 2002 hasta 2016.,FECI 2007,Reporte del FECI para el 2007,http://tabulario.s3.amazonaws.com/Data/Superintendencia%20de%20Bancos%20de%20Panam%C3%A1/FECI/FECI%202007.csv
Data Bancaria,Superintendencia de Bancos,"csv, feci, data bancaria",Reportes de FECI,Incluye todos los reportes del FECI en formato csv entre los años 2002 hasta 2016.,FECI 2008,Reporte del FECI para el 2008,http://tabulario.s3.amazonaws.com/Data/Superintendencia%20de%20Bancos%20de%20Panam%C3%A1/FECI/FECI%202008.csv
Data Bancaria,Superintendencia de Bancos,"csv, feci, data bancaria",Reportes de FECI,Incluye todos los reportes del FECI en formato csv entre los años 2002 hasta 2016.,FECI 2009,Reporte del FECI para el 2009,http://tabulario.s3.amazonaws.com/Data/Superintendencia%20de%20Bancos%20de%20Panam%C3%A1/FECI/FECI%202009.csv
Data Bancaria,Superintendencia de Bancos,"csv, feci, data bancaria",Reportes de FECI,Incluye todos los reportes del FECI en formato csv entre los años 2002 hasta 2016.,FECI 2010,Reporte del FECI para el 2010,http://tabulario.s3.amazonaws.com/Data/Superintendencia%20de%20Bancos%20de%20Panam%C3%A1/FECI/FECI%202010.csv
Data Bancaria,Superintendencia de Bancos,"csv, feci, data bancaria",Reportes de FECI,Incluye todos los reportes del FECI en formato csv entre los años 2002 hasta 2016.,FECI 2011,Reporte del FECI para el 2011,http://tabulario.s3.amazonaws.com/Data/Superintendencia%20de%20Bancos%20de%20Panam%C3%A1/FECI/FECI%202011.csv
Data Bancaria,Superintendencia de Bancos,"csv, feci, data bancaria",Reportes de FECI,Incluye todos los reportes del FECI en formato csv entre los años 2002 hasta 2016.,FECI 2012,Reporte del FECI para el 2012,http://tabulario.s3.amazonaws.com/Data/Superintendencia%20de%20Bancos%20de%20Panam%C3%A1/FECI/FECI%202012.csv
